trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,20.953527300036512,20.953527300036512,0.03381009993609041,[-0.03425925925925926],[-0.39814814814814814],[1],[0],[0],[1.569033099920489],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
1,0,1,0,10,22.553162100026384,22.553162100026384,0.029895600047893822,[0.4166666666666667],[-0.47685185185185186],[1],[0],[0],[1.6675700000487268],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
2,0,2,0,10,24.25531730009243,24.25531730009243,0.031009600032120943,[-0.10277777777777777],[-0.2777777777777778],[1],[0],[0],[1.5163742000004277],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
3,0,3,0,5,25.787584300036542,25.787584300036542,0.014743400039151311,[0.23055555555555557],[-0.16018518518518518],[1],[0],[0],[1.1811174999456853],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
4,0,4,0,5,26.988257899996825,26.988257899996825,0.016644999966956675,[0.05092592592592592],[-0.07037037037037037],[1],[0],[0],[1.3304401000496],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
5,0,5,0,5,28.33810470008757,28.33810470008757,0.015761899994686246,[0.46111111111111114],[0.3685185185185185],[1],[0],[0],[1.1635418999940157],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
6,0,6,0,5,29.520571100059897,29.520571100059897,0.015750600025057793,[-0.3148148148148148],[0.2657407407407407],[1],[0],[0],[1.4480255999369547],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
7,0,7,0,10,31.00279940001201,31.00279940001201,0.029259799979627132,[0.11666666666666667],[0.33425925925925926],[1],[0],[0],[1.300556999980472],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
8,0,8,0,10,32.341837399988435,32.341837399988435,0.0328148000407964,[-0.12962962962962962],[-0.44814814814814813],[1],[0],[0],[1.5948197999969125],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
9,0,9,0,10,33.96917609998491,33.96917609998491,0.030343999969772995,[-0.13148148148148148],[-0.37592592592592594],[1],[0],[0],[1.2013618999626487],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
10,0,10,0,5,35.188118900056,35.188118900056,0.015916400006972253,[0.4462962962962963],[-0.13703703703703704],[1],[0],[0],[1.263901799917221],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
11,0,11,0,10,36.48564960004296,36.48564960004296,0.02929730003233999,[0.012962962962962963],[0.09166666666666666],[1],[0],[0],[1.2678113000001758],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
12,0,12,0,5,37.77099160000216,37.77099160000216,0.016179699916392565,[0.03148148148148148],[0.19166666666666668],[1],[0],[0],[1.046561500057578],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
13,0,13,0,10,38.85544970002957,38.85544970002957,0.032961999997496605,[-0.5064814814814815],[0.15092592592592594],[1],[0],[0],[1.2978984001092613],[],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
14,0,14,0,10,40.21313819999341,40.21313819999341,0.05626489990390837,[-0.2388888888888889],[0.11388888888888889],[1],[0],[0],[1.4907546000322327],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
15,0,15,0,10,41.735603200038895,41.735603200038895,0.02924850000999868,[-0.462037037037037],[-0.001851851851851852],[1],[0],[0],[1.2507670999038965],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
16,0,16,0,5,43.00422550004441,43.00422550004441,0.016176500008441508,[0.27870370370370373],[0.046296296296296294],[1],[0],[0],[1.0802955999970436],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
17,0,17,0,10,44.119034100091085,44.119034100091085,0.030019400059245527,[0.4111111111111111],[-0.3990740740740741],[1],[0],[0],[1.3010825000237674],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
18,0,18,0,10,45.453214200097136,45.453214200097136,0.030111400061286986,[0.30648148148148147],[0.4583333333333333],[1],[0],[0],[1.8664770000614226],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
19,0,19,0,5,47.3376622000942,47.3376622000942,0.015851999982260168,[-0.019444444444444445],[-0.24166666666666667],[1],[0],[0],[1.2474204999161884],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
20,0,20,0,10,48.6197890000185,48.6197890000185,0.030298300087451935,[0.044444444444444446],[0.25],[1],[0],[0],[1.4166620000032708],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
21,0,21,0,10,50.069178999983706,50.069178999983706,0.029440400074236095,[-0.3990740740740741],[-0.30092592592592593],[1],[0],[0],[1.7675096999155357],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
22,0,22,0,10,51.86826250003651,51.86826250003651,0.02819350000936538,[-0.044444444444444446],[-0.12314814814814815],[1],[0],[0],[1.2515430999919772],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
